关联医院code,关联医院名称,院边店code,院边店名称,"A类：
（院内店、HIS）"
N-H000665,山东省千佛山医院,N-R106718,漱玉平民大药房连锁股份有限公司经十路段千佛山医院店,N
N-H026212,济南市第五人民医院,N-R066532,山东德信行大药房有限公司槐荫店,N
N-H026212,济南市第五人民医院,N-R020091,漱玉平民大药房连锁股份有限公司槐荫店,Y
N-H000632,安徽医科大学第一附属医院,N-R064883,安徽圆心医药有限公司绩溪路店,N
N-H000632,安徽医科大学第一附属医院,N-R005439,安徽天星大药房连锁有限公司新特药药房,N
N-H000632,安徽医科大学第一附属医院,N-R143599,安徽广济大药房连锁有限公司万象生活广场店,N
N-H000632,安徽医科大学第一附属医院,N-R059094,安徽天星大药房连锁有限公司皖健大药房,Y
N-H000632,安徽医科大学第一附属医院,N-R090324,安徽国胜大药房连锁有限公司安医店,N
N-H000632,安徽医科大学第一附属医院,N-R090537,南京医药合肥大药房连锁有限公司金怡药房,N
N-H002362,合肥市第一人民医院,N-R143595,安徽广济大药房连锁有限公司寿春路二店,N
N-H000629,合肥市第二人民医院,N-R090326,安徽国胜大药房连锁有限公司大通路店,N
N-H000636,安徽省立医院,N-R058545,安徽国胜大药房连锁有限公司庐江路店,N
N-H000636,安徽省立医院,N-R019918,安徽天星大药房连锁有限公司天星第一药店,N
N-H005761,皖南医学院第一附属医院（弋矶山医院）,N-R112596,芜湖中山大药房连锁有限公司弋矶山店,N
N-H000633,安徽医科大学第二附属医院,N-R143602,安徽国胜大药房连锁有限公司安医二附院店,N
N-H000633,安徽医科大学第二附属医院,N-R059160,安徽天星大药房连锁有限公司芙蓉路店,N
N-H013067,六安市第二人民医院,N-R141971,安徽国胜大药房连锁有限公司六安龙河西路店,N
N-H039018,霍邱县第一人民医院（中国人民解放军131医院）,N-R143586,安徽国胜大药房连锁有限公司霍邱五岳路店,N
N-H002321,东营市人民医院,N-R081409,东营益生堂药业连锁有限公司第四十五药店,N
N-H001286,昆山市第二人民医院,N-R011578,华润苏州礼安医药连锁总店有限公司昆山天顺大药房,N
N-H000654,威海市立医院,N-R064922,威海威高惠民药房有限责任公司,N
N-H000654,威海市立医院,N-R041638,山东燕喜堂医药连锁有限公司七十七店,N
N-H001308,苏州九龙医院,N-R036195,华润苏州礼安医药连锁总店有限公司第三十一医药商店,N
N-H000703,济南市儿童医院（山东大学附属儿童医院）,N-R020091,漱玉平民大药房连锁股份有限公司槐荫店,Y
N-H000703,济南市儿童医院（山东大学附属儿童医院）,N-R066532,山东德信行大药房有限公司槐荫店,N
N-H000703,济南市儿童医院（山东大学附属儿童医院）,N-R090356,北京同仁堂（济南）药店有限公司经十路店,N
N-H038116,太和县人民医院,N-R143499,阜阳市天地仁和大药房零售连锁有限公司太和县复兴路店,N
N-H000009,上海交通大学医学院附属瑞金医院卢湾分院,N-R098429,上海国大瑞景药房有限公司,N
N-H001717,金华市妇幼保健院,N-R079004,浙江金益医药有限公司妇儿院区药店,N
N-H000728,潍坊市人民医院,N-R059228,山东潍坊海王星辰民康连锁药店有限公司人民店,N
N-H008369,潍坊市益都中心医院,N-R141575,潍坊金通大药店有限公司青州中心店,N
N-H000726,山东第二医科大学附属医院,N-R055275,山东潍坊海王星辰民康连锁药店有限公司附属店,N
N-H000726,山东第二医科大学附属医院,N-R141579,潍坊金通大药店有限公司奎文天缘店,N
N-H000641,东阿县人民医院,N-R142939,聊城漱玉平民大药房有限公司东阿曙光街店,N
N-H000658,山东大学第二医院,N-R054223,山东华鹊堂大药房有限公司,N
N-H044920,浙江英特怡年药房连锁有限公司杭州清吟街诊所,N-R036377,浙江英特怡年药房连锁有限公司杭州清吟街店,N
N-H044920,浙江英特怡年药房连锁有限公司杭州清吟街诊所,N-R058544,杭州华东大药房连锁有限公司清吟街连锁店,N
N-H044920,浙江英特怡年药房连锁有限公司杭州清吟街诊所,N-R058800,杭州思派大药房有限公司,N
N-H044920,浙江英特怡年药房连锁有限公司杭州清吟街诊所,N-R107062,浙江英特怡年药房连锁有限公司杭州平海路店,N
N-H044920,浙江英特怡年药房连锁有限公司杭州清吟街诊所,N-R129570,浙江英特药业有限责任公司怡年药房分公司,N
N-H044920,浙江英特怡年药房连锁有限公司杭州清吟街诊所,N-R028384,杭州华东大药房连锁有限公司金鸡岭连锁店,N
N-H000137,复旦大学附属儿科医院,N-R090584,上海复美顾戴大药房,N
N-H000137,复旦大学附属儿科医院,N-R129413,上海安瑞康大药房有限公司,N
N-H000681,山东大学齐鲁医院德州医院,N-R102001,国药控股德州有限公司三八路大药房,N
N-H001595,杭州市第一人民医院,N-R061599,杭州九洲大药房连锁有限公司平海路二店,N
N-H001595,杭州市第一人民医院,N-R082125,杭州瑞人堂医药连锁有限公司浣纱路健康药房,N
N-H001595,杭州市第一人民医院,N-R130379,浙江英特怡年药房连锁有限公司杭州吴山路店,N
N-H001595,杭州市第一人民医院,N-R131533,浙江英特怡年药房连锁有限公司杭州竹竿巷店,N
N-H010732,安庆市第一人民医院,N-R141976,安庆国胜大药房连锁有限公司为人民宜城路二店,N
N-H000725,滨州市人民医院,N-R140514,京东大药房连锁（山东）有限公司滨州渤海八路店,N
N-H000725,滨州市人民医院,N-R143675,滨州漱玉平民大药房有限公司十七店,N
N-H000661,滨州医学院附属医院,N-R105361,滨州漱玉平民大药房有限公司八店,N
N-H000661,滨州医学院附属医院,N-R139456,京东大药房连锁（山东）有限公司滨州黄河二路店,N
N-H000786,青岛市第三人民医院,N-R141573,青岛市海王星辰健康药房连锁有限公司永平路店,N
N-H000789,青岛市第八人民医院,N-R090569,青岛同方药业连锁有限公司第四百六十四连锁店,N
N-H000723,滕州市中心人民医院,N-R087579,滕州德信大药房有限公司,Y
N-H001572,德清县人民医院（浙江大学医学院附属邵逸夫医院德清院区，上海市第一人民医院德清分院）,N-R024877,杭州华东大药房连锁有限公司德清连锁店,N
N-H001623,浙江大学医学院附属儿童医院（浙江省儿童医院、浙江省儿童保健院）湖滨院区,N-R061599,杭州九洲大药房连锁有限公司平海路二店,N
N-H001623,浙江大学医学院附属儿童医院（浙江省儿童医院、浙江省儿童保健院）湖滨院区,N-R131533,浙江英特怡年药房连锁有限公司杭州竹竿巷店,Y
N-H001623,浙江大学医学院附属儿童医院（浙江省儿童医院、浙江省儿童保健院）湖滨院区,N-R082125,杭州瑞人堂医药连锁有限公司浣纱路健康药房,N
N-H001623,浙江大学医学院附属儿童医院（浙江省儿童医院、浙江省儿童保健院）湖滨院区,N-R130379,浙江英特怡年药房连锁有限公司杭州吴山路店,N
N-H001715,金华市中心医院,N-R084162,杭州华东大药房连锁有限公司金华人民东路连锁店,N
N-H001715,金华市中心医院,N-R041883,金华英特药业有限公司人民东路大药房,N
N-H001545,宁波市第一医院,N-R018810,宁波四明大药房有限责任公司三市连锁店,N
N-H001545,宁波市第一医院,N-R005652,宁波海曙益友大药房有限公司,N
N-H001545,宁波市第一医院,N-R029958,宁波健欣大药房有限公司,N
N-H001537,宁波市妇女儿童医院,N-R036442,宁波柳汀大药房有限公司,N
N-H001537,宁波市妇女儿童医院,N-R007022,宁波四明大药房有限责任公司中山连锁店,N
N-H001537,宁波市妇女儿童医院,N-R009360,宁波市江北万和大药房有限公司海曙柳汀店,N
N-H001536,宁波市医疗中心李惠利医院,N-R000306,宁波四明大药房有限责任公司兴宁路连锁店,N
N-H001536,宁波市医疗中心李惠利医院,N-R120885,宁波慧利麦德凯大药房有限公司,N
N-H001536,宁波市医疗中心李惠利医院,N-R014012,宁波惠宁大药房有限公司,N
N-H001602,杭州市萧山区第一人民医院,N-R087273,浙江英特怡年药房连锁有限公司萧山人民医院店,N
N-H000134,复旦大学附属中山医院,N-R013703,上海第一医药汇丰大药房有限公司枫林路店,N
N-H000134,复旦大学附属中山医院,N-R014442,上海第一医药汇丰大药房有限公司抗肿瘤药店,N
N-H000750,聊城市第三人民医院,N-R106853,聊城漱玉平民大药房有限公司第三十九店,N
N-H001509,台州市中心医院,N-R124828,台州爱倍生大药房有限公司,N
N-H001509,台州市中心医院,N-R064361,浙江英特怡年药房连锁有限公司台州东海大道二店,N
N-H001509,台州市中心医院,N-R139141,华东医药台州有限公司东海大道二店,Y
N-H001592,杭州市儿童医院,N-R110944,浙江英特怡年药房连锁有限公司杭州上塘路店,N
N-H001592,杭州市儿童医院,N-R000455,浙江益群生物药械贸易有限公司药店,N
N-H000007,上海交通大学医学院附属新华医院,N-R022572,上海思源药房儿科药品商店,N
N-H000007,上海交通大学医学院附属新华医院,N-R114550,上海新特思源承荣药房有限责任公司,N
N-H001519,嘉兴市第一医院,N-R081774,杭州华东大药房连锁有限公司嘉兴清华路连锁店,N
N-H000696,泰安市中心医院,N-R142936,泰安漱玉平民大药房有限公司中心医院店,N
N-H000696,泰安市中心医院,N-R029713,泰安市弘康药业有限公司,N
N-H000004,上海交通大学医学院附属上海儿童医学中心,N-R128236,上海海王星辰药房有限公司北园路店,N
N-H000233,解放军总医院第三医学中心（原武警总医院）,N-R058025,北京国大药房连锁有限公司金沟河连锁店,N
N-H000233,解放军总医院第三医学中心（原武警总医院）,N-R000056,北京市百济新特药房有限公司,N
N-H000563,中国医学科学院血液病医院（血液研究所）,N-R111925,京东大药房（天津）有限公司万全道分公司,N
N-H000563,中国医学科学院血液病医院（血液研究所）,N-R143645,天津鸿翔一心堂医药连锁有限公司万全道分公司,N
N-H000563,中国医学科学院血液病医院（血液研究所）,N-R000478,天津市领先祥和瑞大药房有限责任公司,N
N-H001634,浙江省台州医院,N-R000305,台州恩泽大药房连锁有限公司临海店,Y
N-H000321,北京市大兴区人民医院,N-R137533,叮当智慧药房（北京）有限公司第十八店,N
N-H019036,北京尤迈医学诊所有限公司,N-R000060,北京白塔寺药店东单医药有限公司,N
N-H019036,北京尤迈医学诊所有限公司,N-R064934,北京圆心新特大药房有限公司,N
N-H019036,北京尤迈医学诊所有限公司,N-R000490,北京同芝堂东单大药房,N
N-H019036,北京尤迈医学诊所有限公司,N-R056553,北京协和精细化学制品有限公司协和大药房,N
N-H002683,甘肃省人民医院,N-R067855,兰州百诺康医药有限责任公司,N
N-H002683,甘肃省人民医院,N-R057804,甘肃至仁同济大药房连锁有限公司一零零分店,N
N-H002683,甘肃省人民医院,N-R063327,甘肃神农大药房有限公司五里铺店,N
N-H000355,首都医科大学附属北京安贞医院,N-R055020,北京德信行医保全新大药房有限公司安贞西里店,N
N-H000296,北京市海淀医院,N-R043801,仁和药房网（北京）医药科技有限公司第二药房,N
N-H000296,北京市海淀医院,N-R060212,北京德信行医保全新大药房有限公司苏坨新村店,N
N-H002339,北京市中关村医院（北京市海淀区社区卫生服务指导中心）,N-R060212,北京德信行医保全新大药房有限公司苏坨新村店,N
N-H000347,首都医科大学附属北京儿童医院,N-R105656,北京黑大健康科技有限公司,Y
N-H000253,首都医科大学附属北京世纪坛医院,N-R060317,北京恩济世康医药有限公司,N
N-H000253,首都医科大学附属北京世纪坛医院,N-R154872,北京同仁堂连锁药店有限责任公司西站北广场药店,N
N-H002345,北京市昌平区医院,N-R143636,北京壹壹壹商业连锁有限公司鼓楼北街分店,N
N-H002345,北京市昌平区医院,N-R112659,北京高济百康大药房有限公司鼓楼北街分店,N
N-H000278,北京市中西医结合医院,N-R000056,北京市百济新特药房有限公司,N
N-H000356,首都医科大学附属北京朝阳医院（本部）,N-R112566,北京高济百康大药房有限公司工体东路分店,N
N-H000356,首都医科大学附属北京朝阳医院（本部）,N-R112565,北京高济百康大药房有限公司三里屯分店,N
N-H000269,北京大学人民医院,N-R000509,北京市圣德堂医药有限公司,N
N-H000269,北京大学人民医院,N-R110992,通用技术集团北京永正医药有限公司北京永正智慧药房分公司,Y
N-H000348,首都医科大学附属北京友谊医院,N-R142932,北京壹壹壹商业连锁有限公司东经路分店,N
N-H000348,首都医科大学附属北京友谊医院,N-R071434,北京仁博大药房有限责任公司,N
N-H000348,首都医科大学附属北京友谊医院,N-R115931,北京高济百康大药房有限公司东经路分店,N
N-H000270,北京大学第一医院,N-R070897,北京圆心康健大药房有限公司,N
N-H000270,北京大学第一医院,N-R001870,北京市亿顺堂医药有限公司,N
N-H000270,北京大学第一医院,N-R036445,北京吉康多大药房,N
N-H000229,首都医科大学三博脑科医院,N-R048676,北京好药师香云堂医药有限公司,N
N-H002340,北京市仁和医院,N-R110229,北京市亿顺堂医疗科技有限公司,N
N-H019119,宁波市医疗中心李惠利医院（东部院区）,N-R115021,宁波麦德凯大药房有限公司,N
N-H019119,宁波市医疗中心李惠利医院（东部院区）,N-R043939,宁波利东大药房有限公司,N
N-H019119,宁波市医疗中心李惠利医院（东部院区）,N-R090553,宁波彩虹大药房有限公司玉兰路连锁店,N
N-H012355,天津市安定医院,N-R098837,老百姓大药房连锁（天津）有限公司河西珠江道店,N
N-H000575,天津市人民医院,N-R096419,老百姓大药房连锁（天津）有限公司红桥芥园道一店,N
N-H024695,余杭区第一人民医院（浙大一院良渚分院）,N-R142117,杭州瑞人堂医药连锁有限公司周家里健康药房,N
N-H001213,阿克苏地区第一人民医院,N-R069390,国药控股国大药房新疆新特药业连锁有限责任公司阿克苏市分店,N
N-H001213,阿克苏地区第一人民医院,N-R143548,新疆普济堂医药零售连锁有限公司第一八六分店,N
N-H001185,喀什地区第一人民医院,N-R054337,国药控股国大药房新疆新特药业连锁有限责任公司喀什二分店,N
N-H000579,天津医科大学总医院,N-R111925,京东大药房（天津）有限公司万全道分公司,N
N-H000579,天津医科大学总医院,N-R143645,天津鸿翔一心堂医药连锁有限公司万全道分公司,N
N-H000579,天津医科大学总医院,N-R000478,天津市领先祥和瑞大药房有限责任公司,N
N-H000608,天津市第一中心医院,N-R083979,京东大药房（天津）有限公司航天道分公司,N
N-H000608,天津市第一中心医院,N-R168430,天津瑞澄大药房医药连锁有限责任公司航天道分公司,N
N-H000566,天津中医药大学第二附属医院,N-R142103,天津市海王星辰健康药房连锁有限公司一百六十四店,N
N-H015786,新疆维吾尔自治区儿童医院,N-R051623,国药控股国大药房新疆新特药业连锁有限责任公司乌鲁木齐市第三十五分店,N
N-H015786,新疆维吾尔自治区儿童医院,N-R141510,国药控股新疆新特药专业药房连锁有限公司乌鲁木齐第十六分店,N
N-H015786,新疆维吾尔自治区儿童医院,N-R080124,新疆百草堂医药连锁经销有限公司乌鲁木齐百草堂大药房阿勒泰路三分店,N
N-H015786,新疆维吾尔自治区儿童医院,N-R142887,国药控股新疆新特药专业药房连锁有限公司乌鲁木齐第十七分店,N
N-H015786,新疆维吾尔自治区儿童医院,N-R112562,新疆普济堂医药零售连锁有限公司第七药店,N
N-H015786,新疆维吾尔自治区儿童医院,N-R144122,新疆普济堂医药零售连锁有限公司乌鲁木齐第二百四十八分店,N
N-H001235,南京明基医院,N-R034425,江苏润天医药连锁药房有限公司明基医院药店,N
N-H001235,南京明基医院,N-R058550,高济再康（江苏）医药连锁有限公司白龙江东街药店,N
N-H018649,石家庄循环化工园区医院,N-R163768,河北神威大药房连锁有限公司丘头一分店,N
N-H000831,山西省人民医院,N-R023894,国药控股国大药房山西益源连锁有限公司双东店,N
N-H000831,山西省人民医院,N-R025970,国药控股国大药房山西益源连锁有限公司闻汇店,N
N-H000832,山西医科大学第一医院,N-R000146,国药控股国大药房山西益源连锁有限公司众利店,N
N-H000832,山西医科大学第一医院,N-R000145,国药集团山西有限公司零售二部,N
N-H000832,山西医科大学第一医院,N-R035386,国药控股国大药房山西益源连锁有限公司解放南路店,N
N-H001373,邢台市人民医院,N-R067112,邢台民生医药连锁有限公司红星街店,N
N-H003470,长治医学院附属和平医院,N-R088266,国药山西国康大药房长治潞安店有限公司,Y
N-H003470,长治医学院附属和平医院,N-R064658,长治市天康苑大药房有限公司,N
N-H010683,大同市第三人民医院,N-R165629,山西思迈乐药业连锁有限公司大同锦祥店,N
N-H010683,大同市第三人民医院,N-R059003,国药控股国大药房山西益源连锁有限公司大同三医院店,N
N-H001354,石家庄市第三医院,N-R141986,河北新兴药房连锁有限公司石家庄市裕华区方北路店,N
N-H001354,石家庄市第三医院,N-R042170,国药河北乐仁堂医药连锁有限公司和平东店,N
N-H001354,石家庄市第三医院,N-R042183,国药河北乐仁堂医药连锁有限公司蓝天店,N
N-H001354,石家庄市第三医院,N-R001141,石家庄新兴药房连锁有限公司桃李店,N
N-H001354,石家庄市第三医院,N-R142041,河北神威大药房连锁有限公司碧景园连锁店,N
N-H001337,河北医科大学第三医院,N-R142036,石家庄新兴药房连锁有限公司汇丰路店,N
N-H001337,河北医科大学第三医院,N-R056410,国药河北乐仁堂医药连锁有限公司长丰药房,N
N-H001337,河北医科大学第三医院,N-R142035,河北新兴药房连锁有限公司石家庄市桥西区省三院西门店,N
N-H001337,河北医科大学第三医院,N-R066591,河北神威圣诺大药房连锁有限公司第二医药商场,N
N-H001343,河北省人民医院,N-R042207,国药河北乐仁堂医药连锁有限公司新华店,N
N-H001343,河北省人民医院,N-R000225,石家庄新兴药房连锁有限公司水源店,N
N-H001343,河北省人民医院,N-R001247,石家庄新兴药房连锁有限公司北合街店,N
N-H002623,保定市第一中心医院,N-R102331,河北益友医药连锁有限公司保定第十分店,N
N-H008880,石家庄市第八医院,N-R141985,石家庄新兴药房连锁有限公司第十药房,N
N-H001193,新疆医科大学第一附属医院,N-R124673,国药控股新疆新特药专业药房连锁有限公司乌鲁木齐第七药房,N
N-H001193,新疆医科大学第一附属医院,N-R051622,国药控股国大药房新疆新特药业连锁有限责任公司乌鲁木齐市新医路二分店,N
N-H001193,新疆医科大学第一附属医院,N-R100438,新疆百草堂医药连锁经销有限公司乌鲁木齐医附院分店,N
N-H001193,新疆医科大学第一附属医院,N-R112560,新疆普济堂医药零售连锁有限公司乌鲁木齐第一百一十六分店,N
N-H001194,新疆医科大学第二附属医院（南湖医院）,N-R121433,国药控股新疆新特药专业药房连锁有限公司乌鲁木齐第一药房,N
N-H001194,新疆医科大学第二附属医院（南湖医院）,N-R051919,国药控股国大药房新疆新特药业连锁有限责任公司乌鲁木齐市南湖东路分店,N
N-H001194,新疆医科大学第二附属医院（南湖医院）,N-R026954,国药控股国大药房新疆新特药业连锁有限责任公司乌鲁木齐市第三十七分店,N
N-H000814,太原市中心医院,N-R025959,国药控股国大药房山西益源连锁有限公司五一店,N
N-H000839,阳泉煤业（集团）有限责任公司总医院,N-R001349,阳泉市天和堂药店有限公司,N
N-H001168,乌鲁木齐市第一人民医院（儿童医院）（南院）乌鲁木齐儿童医院,N-R042796,国药控股国大药房新疆新特药业连锁有限责任公司乌鲁木齐市北门分店,N
N-H001168,乌鲁木齐市第一人民医院（儿童医院）（南院）乌鲁木齐儿童医院,N-R055264,新疆济康大药房医药连锁有限责任公司乌鲁木齐解放北路店,N
N-H001168,乌鲁木齐市第一人民医院（儿童医院）（南院）乌鲁木齐儿童医院,N-R079471,新疆济康大药房医药连锁有限责任公司乌鲁木齐新华南路店,N
N-H001168,乌鲁木齐市第一人民医院（儿童医院）（南院）乌鲁木齐儿童医院,N-R002262,国药控股国大药房新疆新特药业连锁有限责任公司乌鲁木齐市中山路分店,N
N-H003466,长治市人民医院,N-R026863,长治市瑞生堂平价大药房有限公司,N
N-H001259,常熟市第二人民医院,N-R000208,常熟市九洲大药房有限责任公司,N
N-H001267,徐州市儿童医院,N-R079281,徐州恩华统一医药连锁销售有限公司第九十二药店,N
N-H001256,常州市第二人民医院,N-R000204,常州人寿天医药连锁有限公司医药商场,N
N-H001256,常州市第二人民医院,N-R090313,恒泰人民（江苏）大药房连锁有限公司常州局前街总店,N
N-H001256,常州市第二人民医院,N-R005127,常州人寿天医药连锁有限公司回春药店,N
N-H005763,黄山市人民医院,N-R141982,黄山国胜大药房连锁有限公司康源店,N
N-H003112,常州市德安医院（常州市慈善医院）,N-R012165,常州人寿天医药连锁有限公司第二医药商场,N
N-H031119,合肥长淮中医医院,N-R064883,安徽圆心医药有限公司绩溪路店,N
N-H031119,合肥长淮中医医院,N-R005439,安徽天星大药房连锁有限公司新特药药房,N
N-H031119,合肥长淮中医医院,N-R143599,安徽广济大药房连锁有限公司万象生活广场店,N
N-H031119,合肥长淮中医医院,N-R090324,安徽国胜大药房连锁有限公司安医店,N
N-H031119,合肥长淮中医医院,N-R059094,安徽天星大药房连锁有限公司皖健大药房,N
N-H031119,合肥长淮中医医院,N-R090537,南京医药合肥大药房连锁有限公司金怡药房,N
N-H044343,淮南阳光新康医院,N-R128469,淮南市佳佳恒康大药房连锁有限公司淮舜路店,N
N-H001223,南京同仁医院,N-R064864,高济再康（江苏）医药连锁有限公司保利中央公园药店,N
N-H001278,无锡市第二人民医院,N-R143615,无锡九州医药连锁有限公司中山路店,N
N-H001278,无锡市第二人民医院,N-R057783,江苏润天医药连锁药房有限公司无锡清扬路药店,N
N-H015431,盐城市第三人民医院,N-R141467,盐城益丰金源大药房有限公司金源店,N
N-H015431,盐城市第三人民医院,N-R141468,盐城东方红大药房有限公司文正大药房,N
N-H001283,昆山市中医医院,N-R018555,昆山市百佳惠大药房有限公司,N
N-H001248,太仓市第一人民医院,N-R057789,太仓市至仁药房有限公司,Y
N-H002364,安徽中医药大学第一附属医院,N-R132039,安徽天星大药房连锁有限公司梅山路店,N
N-H001238,南通大学附属医院,N-R108101,华润南通医药有限公司南大街店,N
N-H001238,南通大学附属医院,N-R053802,南通遂生堂大药房有限公司健康路店,N
N-H001238,南通大学附属医院,N-R026692,南通遂生堂大药房有限公司南大街店,N
N-H001258,常熟市第一人民医院（苏州大学附属常熟医院）,N-R024864,苏州市明达医药有限公司第一药房,N
N-H025276,苏州大学附属第一医院（苏州市第一人民医院）总院,N-R117126,苏州市中山百草堂国药有限公司,N
N-H025276,苏州大学附属第一医院（苏州市第一人民医院）总院,N-R081122,苏州雷允上国药连锁总店有限公司平泷路药店,N
N-H025276,苏州大学附属第一医院（苏州市第一人民医院）总院,N-R101623,国药控股苏州康民医药有限公司平泷药店,N
N-H001314,苏州市广济医院,N-R047043,华润苏州礼安医药连锁总店有限公司第六十九医药商店,N
N-H001250,宜兴市人民医院,N-R005099,宜兴市天健医药连锁有限公司天健医药商场,N
N-H001250,宜兴市人民医院,N-R005093,宜兴市天健医药连锁有限公司康乐药房,N
N-H001280,无锡市锡山人民医院（无锡市第十人民医院东南大学附属中大医院无锡分院）,N-R143623,无锡九州医药连锁有限公司润硕新店,N
N-H000638,宣城市中心医院,N-R141980,安徽国胜大药房连锁有限公司宣城大坝塘店,N
N-H028206,乌鲁木齐药业集团附属医院,N-R051623,国药控股国大药房新疆新特药业连锁有限责任公司乌鲁木齐市第三十五分店,N
N-H028206,乌鲁木齐药业集团附属医院,N-R144122,新疆普济堂医药零售连锁有限公司乌鲁木齐第二百四十八分店,N
N-H028206,乌鲁木齐药业集团附属医院,N-R141510,国药控股新疆新特药专业药房连锁有限公司乌鲁木齐第十六分店,N
N-H028206,乌鲁木齐药业集团附属医院,N-R142887,国药控股新疆新特药专业药房连锁有限公司乌鲁木齐第十七分店,N
N-H028206,乌鲁木齐药业集团附属医院,N-R142889,新疆普济堂医药零售连锁有限公司乌鲁木齐第二百四十二分店,N
N-H028206,乌鲁木齐药业集团附属医院,N-R023258,国药控股国大药房新疆新特药业连锁有限责任公司北京路分店,N
N-H028206,乌鲁木齐药业集团附属医院,N-R101741,新疆百草堂医药连锁经销有限公司乌鲁木齐铁路局三分店,N
N-H001186,喀什地区第二人民医院,N-R054352,国药控股国大药房新疆新特药业连锁有限责任公司喀什十分店,N
N-H000717,淄博市中心医院,N-R090924,淄博新华大药店连锁有限公司张店互联网医院智慧药房东院店,Y
N-H000717,淄博市中心医院,N-R142943,淄博漱玉平民大药房有限公司张店中心店,N
N-H001226,南京医科大学附属儿童医院（南京市儿童医院，江苏省红十字儿童医院）广州路院区,N-R000196,南京市鼓楼区业康药房,N
N-H004258,和田地区人民医院,N-R065875,和田益寿堂医药零售有限责任公司,N
N-H005285,宜兴市第二人民医院,N-R058092,宜兴市天健医药连锁有限公司丁山医药商场,N
N-H001204,新疆维吾尔自治区人民医院,N-R059328,国药控股国大药房新疆新特药业连锁有限责任公司乌鲁木齐市第三十六分店,N
N-H001204,新疆维吾尔自治区人民医院,N-R079507,国药控股国大药房新疆新特药业连锁有限责任公司乌鲁木齐市新华南路二分店,N
N-H001204,新疆维吾尔自治区人民医院,N-R101742,新疆百草堂医药连锁经销有限公司光明路百草堂大药房,N
N-H001204,新疆维吾尔自治区人民医院,N-R025568,新疆百草堂医药连锁经销有限公司新华南路百草堂大药房,N
N-H011791,保定市儿童医院,N-R144118,保定市药药优医药销售有限公司第四分公司,N
N-H027221,新乐市医院,N-R143570,河北神威大药房连锁有限公司新乐博爱店,N
N-H003416,遵化市人民医院,N-R130158,唐山市华佗药房连锁有限公司遵化华明南路店,N
N-H003416,遵化市人民医院,N-R142008,河北唐人医药有限责任公司遵化华明南路店,N
N-H001340,河北大学附属医院,N-R116179,河北华佗药房医药连锁有限公司保定市第八分公司,N
N-H001360,邯郸市中心医院,N-R058618,邯郸医药大厦连锁有限公司大厦分店,N
N-H001360,邯郸市中心医院,N-R142019,石家庄新兴药房连锁有限公司邯郸农林路店,N
N-H001360,邯郸市中心医院,N-R142020,神威大药房连锁（邯郸）有限公司邯山区利民院分店,N
